시도명,시군구명,종량제봉투종류,종량제봉투처리방식,종량제봉투용도,종량제봉투사용대상,1ℓ가격,1.5ℓ가격,2ℓ가격,2.5ℓ가격,3ℓ가격,5ℓ가격,10ℓ가격,20ℓ가격,30ℓ가격,50ℓ가격,60ℓ가격,75ℓ가격,100ℓ가격,120ℓ가격,125ℓ가격,관리부서명,관리부서전화번호,데이터기준일자,제공기관코드,제공기관명
전라남도,완도군,재사용규격봉투,소각용,음식물쓰레기,기타,0,0,0,0,0,110,220,0,0,0,1300,0,0,2600,0,환경산림과,061-550-5511,2020-08-10,4990000,전라남도 완도군
경상남도,고성군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,100,200,400,600,1000,0,0,2000,0,0,환경과,055-670-2413,2020-07-10,5420000,경상남도 고성군
대전광역시,대덕구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,100,170,330,660,0,1650,0,0,3300,0,0,기후환경과,042-608-6834,2021-06-24,3680000,대전광역시 대덕구
대전광역시,대덕구,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,330,660,0,0,0,0,0,0,0,기후환경과,042-608-6834,2021-06-24,3680000,대전광역시 대덕구
대전광역시,대덕구,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,0,0,0,2630,0,0,0,0,0,기후환경과,042-608-6834,2021-06-24,3680000,대전광역시 대덕구
경상북도,영천시,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,90,180,360,0,0,0,0,0,0,0,자원순환과,054-330-6193,2021-06-25,5100000,경상북도 영천시
경상북도,영천시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,90,180,360,0,900,0,1350,1800,0,0,자원순환과,054-330-6193,2021-06-25,5100000,경상북도 영천시
부산광역시,강서구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,150,270,510,780,1240,0,1830,0,0,0,청소행정과,051-970-4434,2021-06-23,3360000,부산광역시 강서구
충청북도,단양군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,130,260,0,640,0,0,1270,0,0,환경과,043-420-2683,2021-06-21,4480000,충청북도 단양군
충청북도,단양군,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,환경과,043-420-2683,2021-06-21,4480000,충청북도 단양군
강원도,인제군,규격봉투,소각용,생활쓰레기,가정용,0,0,40,0,60,90,150,300,0,740,0,0,1470,1700,0,환경보호과,033-460-2063,2021-06-10,4330000,강원도 인제군
대구광역시,서구,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,100,150,290,560,850,1400,0,2080,2770,0,0,환경청소과,053-663-2711,2021-09-30,3430000,대구광역시 서구
강원도,고성군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,140,260,500,0,1220,0,0,2410,0,0,환경보호과,033-680-3982,2021-10-15,4340000,강원도 고성군
강원도,고성군,규격봉투,소각용,음식물쓰레기,가정용,0,0,60,0,80,120,0,0,0,0,0,0,0,0,0,환경보호과,033-680-3982,2021-10-15,4340000,강원도 고성군
강원도,고성군,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,0,0,0,1540,0,0,0,0,0,환경보호과,033-680-3982,2021-10-15,4340000,강원도 고성군
충청북도,옥천군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,80,140,270,400,650,0,1000,1300,0,0,환경과,043-730-3452,2021-10-21,4430000,충청북도 옥천군
서울특별시,관악구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,90,130,250,490,740,1250,0,1880,0,0,0,청소행정과,02-879-6206,2021-10-15,3200000,서울특별시 관악구
서울특별시,관악구,규격봉투,소각용,음식물쓰레기,가정용,100,0,190,0,300,500,0,0,0,0,0,0,0,0,0,청소행정과,02-879-6206,2021-10-15,3200000,서울특별시 관악구
전라남도,곡성군,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,0,310,530,0,1270,0,1970,0,0,0,환경축산과,061-360-8521,2021-10-20,4860000,전라남도 곡성군
충청북도,괴산군,규격봉투,소각용,생활쓰레기,기타,0,0,0,0,0,0,140,280,0,660,0,0,1320,0,0,환경과,043-830-3648,2021-10-24,4460000,충청북도 괴산군
충청북도,괴산군,규격봉투,매립용,생활쓰레기,기타,0,0,0,0,0,0,140,280,0,660,0,0,1320,0,0,환경과,043-830-3648,2021-10-24,4460000,충청북도 괴산군
충청북도,괴산군,재사용규격봉투,소각용,생활쓰레기,사업장용,0,0,0,0,0,0,140,280,0,0,0,0,0,0,0,환경과,043-830-3648,2021-10-24,4460000,충청북도 괴산군
충청북도,괴산군,규격봉투,소각용,음식물쓰레기,기타,0,0,0,0,50,80,140,0,0,0,849,0,0,1680,0,환경과,043-830-3648,2021-10-24,4460000,충청북도 괴산군
충청북도,괴산군,규격봉투,소각용,생활쓰레기,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,환경과,043-830-3648,2021-10-24,4460000,충청북도 괴산군
전라북도,임실군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,90,150,320,0,790,0,0,0,0,0,청소위생과,063-640-2393,2021-10-21,4760000,전라북도 임실군
전라북도,임실군,특수규격마대,매립용,생활쓰레기,사업장용,0,0,0,0,0,0,460,0,0,2300,0,0,0,0,0,청소위생과,063-640-2393,2021-10-21,4760000,전라북도 임실군
전라북도,순창군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,120,190,380,560,900,0,0,2000,0,0,환경수도과,063-650-1725,2021-09-30,4770000,전라북도 순창군
경상남도,김해시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,200,400,800,0,2400,0,3600,0,0,0,청소행정과,055-330-3386,2021-10-21,5350000,경상남도 김해시
서울특별시,서초구,규격봉투,소각용,생활쓰레기,가정용,0,0,60,0,0,130,250,490,0,1250,0,0,0,0,0,청소행정과,02-2155-6723,2021-10-05,3210000,서울특별시 서초구
인천광역시,서구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,160,310,620,0,1540,0,0,3070,0,0,자원순환과,032-560-4552,2021-01-29,3560000,인천광역시 서구
인천광역시,서구,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,0,310,620,0,1540,0,0,0,0,0,자원순환과,032-560-4552,2021-01-29,3560000,인천광역시 서구
인천광역시,서구,규격봉투,소각용,생활쓰레기,사업장용,0,0,0,0,0,0,0,0,1870,0,3710,0,0,0,7660,자원순환과,032-560-4552,2021-01-29,3560000,인천광역시 서구
인천광역시,서구,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,310,620,0,0,0,0,0,0,0,자원순환과,032-560-4552,2021-01-29,3560000,인천광역시 서구
인천광역시,연수구,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,160,310,620,0,1540,0,0,3070,0,0,연수구시설안전관리공단,032-830-8055,2020-08-04,B553866,인천광역시연수구시설안전관리공단
인천광역시,연수구,재사용규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,0,310,620,0,0,0,0,0,0,0,연수구시설안전관리공단,032-830-8055,2020-08-04,B553866,인천광역시연수구시설안전관리공단
인천광역시,연수구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,0,0,0,0,3880,0,0,0,8070,연수구시설안전관리공단,032-830-8055,2020-08-04,B553866,인천광역시연수구시설안전관리공단
인천광역시,연수구,규격봉투,소각용,음식물쓰레기,가정용,60,0,120,0,180,300,600,0,0,0,0,0,0,0,0,연수구시설안전관리공단,032-830-8055,2020-08-04,B553866,인천광역시연수구시설안전관리공단
인천광역시,계양구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,160,310,620,0,1540,0,0,3060,0,0,청결지도팀,032-450-5464,2020-09-01,B551295,인천광역시계양구시설관리공단
인천광역시,계양구,규격봉투,소각용,음식물쓰레기,가정용,60,0,120,0,180,300,600,1200,0,0,0,0,0,0,0,음식물자원화팀,032-450-5453,2020-09-01,B551295,인천광역시계양구시설관리공단
인천광역시,계양구,규격봉투,소각용,생활쓰레기,사업장용,0,0,0,0,0,0,0,0,0,0,3880,0,0,0,8070,청결지도팀,032-450-5464,2020-09-01,B551295,인천광역시계양구시설관리공단
인천광역시,계양구,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,310,620,0,0,0,0,0,0,0,청결지도팀,032-450-5464,2020-09-01,B551295,인천광역시계양구시설관리공단
인천광역시,계양구,규격봉투,소각용,생활쓰레기,기타,0,0,0,0,0,160,310,0,0,0,0,0,3060,0,0,청결지도팀,032-450-5464,2020-09-01,B551295,인천광역시계양구시설관리공단
인천광역시,강화군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,160,310,620,0,1540,0,0,3060,0,0,환경위생과,032-930-3336,2020-09-18,3570000,인천광역시 강화군
인천광역시,강화군,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,160,310,620,0,1540,0,0,3060,0,0,환경위생과,032-930-3336,2020-09-18,3570000,인천광역시 강화군
인천광역시,강화군,규격봉투,매립용,음식물쓰레기,가정용,0,0,120,0,180,300,600,0,0,0,0,0,0,0,0,환경위생과,032-930-3336,2020-09-18,3570000,인천광역시 강화군
전라남도,완도군,재사용규격봉투,소각용,생활쓰레기,기타,0,0,0,0,50,80,160,290,450,720,0,1220,1400,0,0,환경산림과,061-550-5511,2020-08-10,4990000,전라남도 완도군
경상북도,울진군,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,120,210,400,0,1050,0,1570,2100,0,0,환경위생과,054-789-6721,2021-05-20,5250000,경상북도 울진군
울산광역시,남구,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,160,310,600,0,0,0,0,0,0,0,환경관리과,052-226-5774,2021-04-30,3700000,울산광역시 남구
울산광역시,남구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,0,0,0,1490,0,0,2960,0,0,환경관리과,052-226-5774,2021-04-30,3700000,울산광역시 남구
대구광역시,동구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,100,150,290,560,850,1400,0,0,2770,0,0,환경녹색과,053-662-2736,2021-05-18,3420000,대구광역시 동구
경상북도,안동시,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,80,150,0,0,0,0,0,0,0,0,자원순환과,054-840-5291,2021-06-30,5070000,경상북도 안동시
경기도,안양시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,150,300,550,0,1400,0,0,2800,0,0,자원순환과,031-8045-5448,2021-08-19,3830000,경기도 안양시
경기도,안양시,규격봉투,소각용,생활쓰레기,사업장용,0,0,0,0,0,150,300,550,0,1400,0,0,2800,0,0,자원순환과,031-8045-5448,2021-08-19,3830000,경기도 안양시
울산광역시,중구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,0,0,0,1490,0,0,2960,0,0,경영사업팀,052-290-7657,2020-09-22,6310000,울산광역시
울산광역시,중구,특수규격마대,매립용,생활쓰레기,사업장용,0,0,0,0,0,0,0,0,2160,3480,0,0,0,0,0,경영사업팀,052-290-7657,2020-09-22,6310000,울산광역시
전라남도,함평군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,40,65,120,220,0,530,0,0,1020,0,0,환경상하수도과,061-320-1833,2020-08-04,4960000,전라남도 함평군
울산광역시,중구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,0,0,0,1490,0,0,2960,0,0,경영사업팀,052-290-7657,2020-07-07,B553013,울산광역시중구도시관리공단
울산광역시,중구,특수규격마대,매립용,생활쓰레기,사업장용,0,0,0,0,0,0,0,0,2160,3480,0,0,0,0,0,경영사업팀,052-290-7657,2020-07-07,B553013,울산광역시중구도시관리공단
경상남도,함안군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,200,0,0,1000,0,0,2000,0,0,환경위생과,055-580-2414,2020-07-07,5400000,경상남도 함안군
광주광역시,남구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,200,380,740,1110,1830,0,2730,3640,0,0,청소행정과,062-607-3632,2021-08-31,3610000,광주광역시 남구
광주광역시,남구,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,200,380,740,0,0,0,0,0,0,0,청소행정과,062-607-3632,2021-08-31,3610000,광주광역시 남구
경기도,가평군,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,0,200,400,0,1000,0,1500,2000,0,0,환경과,031-580-2552,2021-09-06,4160000,경기도 가평군
경기도,성남시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,130,250,500,0,1250,0,1880,0,0,0,자원순환과,031-729-3196,2021-09-01,3780000,경기도 성남시
경기도,성남시,규격봉투,소각용,음식물쓰레기,가정용,20,0,50,0,80,130,250,500,0,0,0,0,0,0,0,자원순환과,031-729-3196,2021-09-01,3780000,경기도 성남시
경기도,성남시,규격봉투,소각용,생활쓰레기,사업장용,0,0,0,0,0,0,0,0,0,2010,0,3000,0,0,0,자원순환과,031-729-3196,2021-09-01,3780000,경기도 성남시
경기도,성남시,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,130,250,500,0,0,0,0,0,0,0,자원순환과,031-729-3196,2021-09-01,3780000,경기도 성남시
경기도,성남시,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,340,660,1200,0,0,0,0,0,0,0,자원순환과,031-729-3196,2021-09-01,3780000,경기도 성남시
대구광역시,북구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,100,150,290,560,850,1400,0,2080,2770,0,0,대구광역시 북구 자원순환과,053-665-2585,2021-08-30,3450000,대구광역시 북구
경기도,안양시,재사용규격봉투,소각용,생활쓰레기,사업장용,0,0,0,0,0,0,300,550,0,0,0,0,0,0,0,자원순환과,031-8045-5448,2021-08-19,3830000,경기도 안양시
경기도,안양시,재사용규격봉투,소각용,생활쓰레기,기타,0,0,0,0,0,0,300,550,0,0,0,0,0,0,0,자원순환과,031-8045-5448,2021-08-19,3830000,경기도 안양시
경기도,안양시,재사용규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,0,300,550,0,0,0,0,0,0,0,자원순환과,031-8045-5448,2021-08-19,3830000,경기도 안양시
경기도,안양시,재사용규격봉투,매립용,생활쓰레기,사업장용,0,0,0,0,0,0,300,550,0,0,0,0,0,0,0,자원순환과,031-8045-5448,2021-08-19,3830000,경기도 안양시
경기도,안양시,재사용규격봉투,매립용,생활쓰레기,기타,0,0,0,0,0,0,300,550,0,0,0,0,0,0,0,자원순환과,031-8045-5448,2021-08-19,3830000,경기도 안양시
경기도,안양시,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,0,1000,0,2500,0,0,0,0,0,자원순환과,031-8045-5448,2021-08-19,3830000,경기도 안양시
경기도,안양시,특수규격마대,매립용,생활쓰레기,사업장용,0,0,0,0,0,0,0,1000,0,2500,0,0,0,0,0,자원순환과,031-8045-5449,2021-08-19,3830000,경기도 안양시
경기도,안양시,특수규격마대,매립용,생활쓰레기,기타,0,0,0,0,0,0,0,1000,0,2500,0,0,0,0,0,자원순환과,031-8045-5450,2021-08-19,3830000,경기도 안양시
충청남도,계룡시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,120,240,470,0,1170,0,0,2320,0,0,환경위생과,042-840-2484,2019-05-16,5580000,충청남도 계룡시
충청남도,계룡시,규격봉투,소각용,생활쓰레기,사업장용,0,0,0,0,0,120,240,470,0,1170,0,0,2320,0,0,환경위생과,042-840-2484,2019-05-16,5580000,충청남도 계룡시
충청남도,계룡시,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,120,240,470,0,1170,0,0,2320,0,0,환경위생과,042-840-2484,2019-05-16,5580000,충청남도 계룡시
충청남도,계룡시,재사용규격봉투,소각용,생활쓰레기,사업장용,0,0,0,0,0,120,240,470,0,1170,0,0,2320,0,0,환경위생과,042-840-2484,2019-05-16,5580000,충청남도 계룡시
서울특별시,송파구,규격봉투,매립용,생활쓰레기,사업장용,0,0,0,0,0,0,0,820,0,2040,0,3300,0,0,0,자원순환과,02-2147-2840,2021-02-19,3230000,서울특별시 송파구
서울특별시,송파구,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,250,490,0,0,0,0,0,0,0,자원순환과,02-2147-2840,2021-02-19,3230000,서울특별시 송파구
서울특별시,송파구,재사용규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,0,250,490,0,0,0,0,0,0,0,자원순환과,02-2147-2840,2021-02-19,3230000,서울특별시 송파구
서울특별시,송파구,특수규격마대,매립용,생활쓰레기,기타,0,0,0,0,0,0,0,2040,0,5100,0,0,0,0,0,자원순환과,02-2147-2840,2021-02-19,3230000,서울특별시 송파구
서울특별시,송파구,김장용봉투,소각용,음식물쓰레기,가정용,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,자원순환과,02-2147-2840,2021-02-19,3230000,서울특별시 송파구
경상북도,경산시,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,120,220,430,0,1050,0,0,2090,0,0,자원순환과,053-810-6056,2020-12-07,5130000,경상북도 경산시
전라남도,여수시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,140,250,500,720,1200,0,1800,2400,0,0,도시미화과,061-659-3833,2020-12-01,4810000,전라남도 여수시
경기도,광주시,규격봉투,기타,음식물쓰레기,가정용,0,40,0,0,80,140,280,560,0,0,0,0,0,0,0,자원순환과,031-760-4688,2021-10-05,5540000,경기도 광주시
경기도,광주시,재사용규격봉투,소각용+매립용,생활쓰레기,가정용,0,0,0,0,0,0,280,560,0,0,0,0,0,0,0,자원순환과,031-760-4688,2021-10-05,5540000,경기도 광주시
경기도,광주시,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,0,1600,0,4000,0,0,0,0,0,자원순환과,031-760-4688,2021-10-05,5540000,경기도 광주시
경기도,포천시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,140,280,560,840,1400,0,2100,0,0,0,친환경정책과,031-538-2465,2021-09-30,5600000,경기도 포천시
경기도,포천시,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,280,560,840,0,0,0,0,0,0,친환경정책과,031-538-2465,2021-09-30,5600000,경기도 포천시
경기도,포천시,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,0,560,0,1400,0,0,0,0,0,친환경정책과,031-538-2465,2021-09-30,5600000,경기도 포천시
경기도,포천시,규격봉투,소각용,생활쓰레기,소규모배출사업장 전용,0,0,0,0,0,0,0,0,0,0,0,4200,0,0,0,친환경정책과,031-538-2465,2021-09-30,5600000,경기도 포천시
강원도,철원군,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,100,170,350,0,850,0,0,1700,0,0,환경자원사업소,033-450-5335,2020-11-23,4300000,강원도 철원군
세종특별자치시,세종특별자치시,규격봉투,소각용,생활쓰레기,가정용,40,0,60,0,80,130,270,540,820,1440,0,0,0,0,0,자원순환과,044-300-4725,2021-10-15,5690000,세종특별자치시
경상북도,칠곡군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,50,70,130,250,0,620,0,0,1230,0,0,환경관리과,054-979-6722,2021-10-14,5220000,경상북도 칠곡군
인천광역시,남동구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,210,390,750,0,1850,0,0,0,0,0,청소행정과,032-453-2554,2021-10-14,3530000,인천광역시 남동구
인천광역시,남동구,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,210,390,750,0,1850,0,0,0,0,0,청소행정과,032-453-2554,2021-10-14,3530000,인천광역시 남동구
인천광역시,남동구,규격봉투,기타,음식물쓰레기,가정용,100,0,200,0,300,500,1000,2000,0,0,0,0,0,0,0,청소행정과,032-453-8493,2021-10-14,3530000,인천광역시 남동구
인천광역시,남동구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,0,0,2350,0,4700,0,0,0,7870,청소행정과,032-453-2554,2021-10-14,3530000,인천광역시 남동구
인천광역시,남동구,재사용규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,0,0,0,0,5500,0,0,0,0,0,청소행정과,032-453-2554,2021-10-14,3530000,인천광역시 남동구
강원도,동해시,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,0,150,290,560,0,1350,0,0,2700,0,0,환경과,033-530-2151,2021-10-13,4210000,강원도 동해시
충청북도,충주시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,100,140,250,470,0,1150,0,0,2300,0,0,자원순환과,043-850-6914,2021-09-30,4390000,충청북도 충주시
충청북도,충주시,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,자원순환과,043-850-6914,2021-09-30,4390000,충청북도 충주시
충청북도,충주시,규격봉투,소각용,음식물쓰레기,가정용,60,0,90,0,100,140,250,470,0,0,0,0,0,0,0,자원순환과,043-850-6923,2021-09-30,4390000,충청북도 충주시
경상남도,양산시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,140,250,500,950,1500,2350,0,0,4700,0,0,자원순환과,055-392-2643,2021-10-07,5380000,경상남도 양산시
경상남도,양산시,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,500,950,0,0,0,0,0,0,0,자원순환과,055-392-2643,2021-10-07,5380000,경상남도 양산시
경상남도,양산시,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,0,0,1830,0,0,0,0,0,0,자원순환과,055-392-2643,2021-10-07,5380000,경상남도 양산시
경상남도,양산시,특수규격마대,소각용,생활쓰레기,가정용,0,0,0,0,0,0,0,0,0,2750,0,0,0,0,0,자원순환과,055-392-2643,2021-10-07,5380000,경상남도 양산시
제주특별자치도,서귀포시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,120,240,700,1050,1750,0,0,0,0,0,생활환경과,064-760-2935,2021-10-13,6520000,제주특별자치도 서귀포시
제주특별자치도,서귀포시,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,120,240,700,1050,1750,0,0,0,0,0,생활환경과,064-760-2935,2021-10-13,6520000,제주특별자치도 서귀포시
제주특별자치도,서귀포시,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,생활환경과,064-760-2935,2021-10-13,6520000,제주특별자치도 서귀포시
부산광역시,기장군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,150,300,590,0,1470,0,2200,0,0,0,청소자원과,051-709-4432,2021-10-08,3400000,부산광역시 기장군
경상북도,경주시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,90,180,350,520,850,0,1340,0,0,0,자원순환과,054-779-6693,2021-10-12,5050000,경상북도 경주시
경상북도,경주시,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,180,350,520,0,0,0,0,0,0,자원순환과,054-779-6693,2021-10-12,5050000,경상북도 경주시
경상북도,경주시,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,자원순환과,054-779-6693,2021-10-12,5050000,경상북도 경주시
부산광역시,영도구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,220,430,850,1280,2070,0,3080,0,0,0,청소행정과,051-419-4434,2021-10-12,3280000,부산광역시 영도구
경상남도,의령군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,200,400,0,1000,0,1500,0,0,0,환경위생과,055-570-2623,2021-10-08,5390000,경상남도 의령군
경상남도,의령군,규격봉투,매립용,음식물쓰레기,가정용,0,0,0,0,60,100,200,400,0,0,0,0,0,0,0,환경위생과,055-570-2623,2021-10-08,5390000,경상남도 의령군
경상남도,의령군,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,200,400,0,0,0,0,0,0,0,환경위생과,055-570-2623,2021-10-08,5390000,경상남도 의령군
부산광역시,해운대구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,140,220,430,850,1280,2070,0,3080,0,0,0,자원순환과,051-749-4434,2021-10-12,3330000,부산광역시 해운대구
부산광역시,해운대구,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,430,0,1280,2070,0,0,0,0,0,자원순환과,051-749-4434,2021-10-12,3330000,부산광역시 해운대구
부산광역시,해운대구,규격봉투,소각용,생활쓰레기,사업장용,0,0,0,0,0,230,450,890,1340,2170,0,3230,0,0,0,자원순환과,051-749-4434,2021-10-12,3330000,부산광역시 해운대구
